print;picture;name;text1;text2;reminder;
0;ether.png;Эфир;Отпускная цена <b>200$</b> за бутылку. ;Чтобы принять порцию Эфира - <b>достань ОДИН Красный Камень</b> из этой бутылки и положи его <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;24
0;morphine.png;Морфин;Отпускная цена <b>300$</b> за бутылку.;Чтобы принять порцию Морфина - <b>достань ДВА Красных Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;24
0;heroin.jpg;Героин;Нет в продаже, только по заказу!;Чтобы принять порцию Героина - <b>достань ЧЕТЫРЕ Красных Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;8
0;aspirine.png;Ацетилсалициловая кислота;Отпускная цена <b>100$</b> за бутылку. ;Чтобы принять порцию Лекарства - <b>достань ОДИН Синий Камень</b> из этой бутылки и положи его <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;60
0;camphor.png;Камфора;Отпускная цена <b>400$</b> за бутылку. ;Чтобы принять порцию Камфоры - <b>достань ДВА Синих Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;16
0;ephedrine.jpg;Эфедрин;Нет в продаже, только по заказу!;Чтобы принять порцию Эфедрина - <b>достань ЧЕТЫРЕ Синих Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;8
0;caffeine.jpg;Кофеин;Отпускная цена <b>300$</b> за бутылку.;Чтобы принять порцию Кофеина - <b>достань ОДИН Зеленый Камень</b> из этой бутылки и положи его <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;24
0;cocaine.jpg;Кокаин;Отпускная цена <b>600$</b> за бутылку. ;Чтобы принять порцию Кокаина - <b>достань ДВА Зеленых Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;16
0;novocainum.png;Новокаин;Нет в продаже, только по заказу!;Чтобы принять порцию Новокаина - <b>достань ЧЕТЫРЕ Зеленых Камня</b> из этой бутылки и положи их <b>себе в мешок</b> (если позволяют лимиты).<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;8
0;carbol.png;Карболовая кислота;Цена на заказ <b>300$</b> за бутылку.;Чтобы принять порцию Карболовой кислоты - <b>достань Красный, Зеленый и Синий Камни</b> из этой бутылки и сбрось их.<br/><br/><b>Проверь, повлияло ли</b> это Лекарство и как именно <b>на твои Болезнь и Травму</b>.;;12
